Tanggal,Mata Uang,Event,Aktual
2018/03/13,USD,CPI (MoM)  (Feb),0.2%
2018/03/14,USD,Core Retail Sales (MoM)  (Feb),0.2%
2018/03/14,USD,PPI (MoM)  (Feb),0.2%
2018/03/14,USD,Retail Sales (MoM)  (Feb),-0.1%
2018/03/14,USD,Crude Oil Inventories,5.022M
2018/03/15,USD,Initial Jobless Claims,226K
2018/03/15,USD,Philadelphia Fed Manufacturing Index  (Mar),22.3
2018/03/16,EUR,CPI (YoY)  (Feb),1.1%
2018/03/16,USD,JOLTS Job Openings  (Jan),6.312M
2018/03/20,GBP,CPI (YoY)  (Feb),2.7%
2018/03/21,USD,Existing Home Sales  (Feb),5.54M
2018/03/21,USD,Crude Oil Inventories,-2.622M
2018/03/22,USD,FOMC Economic Projections,
2018/03/22,USD,FOMC Statement,
2018/03/22,USD,Fed Interest Rate Decision,1.75%
2018/03/22,USD,FOMC Press Conference,
2018/03/22,GBP,BoE Interest Rate Decision  (Mar),0.50%
2018/03/22,USD,Initial Jobless Claims,229K
2018/03/22,USD,S&P Global Manufacturing PMI  (Mar),55.7
2018/03/22,USD,S&P Global Services PMI  (Mar),54.1
2018/03/23,USD,Durable Goods Orders (MoM)  (Feb),3.1%
2018/03/23,USD,New Home Sales  (Feb),618K
2018/03/28,USD,GDP (QoQ)  (Q4),2.9%
2018/03/28,USD,Crude Oil Inventories,1.643M
2018/03/29,GBP,GDP (YoY)  (Q4),1.4%
2018/03/29,GBP,GDP (QoQ)  (Q4),0.4%
2018/03/29,USD,Core PCE Price Index (MoM)  (Feb),0.2%
2018/03/29,USD,Core PCE Price Index (YoY)  (Feb),1.6%
2018/03/29,USD,Initial Jobless Claims,215K
2018/03/29,USD,Chicago PMI  (Mar),57.4
2018/03/31,CNY,Manufacturing PMI  (Mar),51.5
2018/04/02,USD,S&P Global Manufacturing PMI  (Mar),55.6
2018/04/02,USD,ISM Manufacturing PMI  (Mar),59.3
2018/04/02,USD,ISM Manufacturing Prices  (Mar),78.1
2018/04/04,EUR,CPI (YoY)  (Mar),1.4%
2018/04/04,USD,ADP Nonfarm Employment Change  (Mar),241K
2018/04/04,USD,S&P Global Services PMI  (Mar),54.0
2018/04/04,USD,Durable Goods Orders (MoM),3.0%
2018/04/04,USD,ISM Non-Manufacturing PMI  (Mar),58.8
2018/04/04,USD,ISM Non-Manufacturing Prices  (Mar),61.5
2018/04/04,USD,Crude Oil Inventories,-4.617M
2018/04/05,USD,Initial Jobless Claims,242K
2018/04/06,USD,Average Hourly Earnings (MoM)  (Mar),0.3%
2018/04/06,USD,Nonfarm Payrolls  (Mar),103K
2018/04/06,USD,Unemployment Rate  (Mar),4.1%
2018/04/06,GBP,BoE Gov Carney Speaks,
2018/04/07,USD,Fed Chair Powell Speaks,
2018/04/10,USD,PPI (MoM)  (Mar),0.3%
2018/04/11,USD,Core CPI (MoM)  (Mar),0.2%
2018/04/11,USD,CPI (YoY)  (Mar),2.4%
2018/04/11,USD,CPI (MoM)  (Mar),-0.1%
2018/04/11,USD,Crude Oil Inventories,3.306M
2018/04/12,USD,FOMC Meeting Minutes,
2018/04/12,USD,Initial Jobless Claims,233K
2018/04/13,GBP,BoE Gov Carney Speaks,
2018/04/13,USD,JOLTS Job Openings  (Feb),6.052M
2018/04/16,USD,Core Retail Sales (MoM)  (Mar),0.2%
2018/04/16,USD,Retail Sales (MoM)  (Mar),0.6%
2018/04/17,CNY,GDP (YoY)  (Q1),6.8%
2018/04/18,GBP,CPI (YoY)  (Mar),2.5%
2018/04/18,EUR,CPI (YoY)  (Mar),1.3%
2018/04/18,USD,Crude Oil Inventories,-1.071M
2018/04/19,USD,Initial Jobless Claims,232K
2018/04/19,USD,Philadelphia Fed Manufacturing Index  (Apr),23.2
2018/04/23,USD,S&P Global Manufacturing PMI  (Apr),56.5
2018/04/23,USD,S&P Global Services PMI  (Apr),54.4
2018/04/23,USD,Existing Home Sales  (Mar),5.60M
2018/04/24,USD,New Home Sales  (Mar),694K
2018/04/25,USD,Crude Oil Inventories,2.170M
2018/04/26,EUR,Deposit Facility Rate,-0.40%
2018/04/26,EUR,ECB Interest Rate Decision  (Apr),0.00%
2018/04/26,USD,Durable Goods Orders (MoM)  (Mar),2.6%
2018/04/26,USD,Initial Jobless Claims,209K
2018/04/26,EUR,ECB Press Conference,
2018/04/27,JPY,BoJ Interest Rate Decision,-0.10%
2018/04/27,GBP,GDP (QoQ)  (Q1),0.1%
2018/04/27,GBP,GDP (YoY)  (Q1),1.2%
2018/04/27,USD,GDP (QoQ)  (Q1),2.3%
2018/04/27,GBP,BoE Gov Carney Speaks,
2018/04/30,CNY,Manufacturing PMI  (Apr),51.4
2018/04/30,USD,Core PCE Price Index (YoY)  (Mar),1.9%
2018/04/30,USD,Core PCE Price Index (MoM)  (Mar),0.2%
2018/04/30,USD,Chicago PMI  (Apr),57.6
2018/05/01,USD,S&P Global Manufacturing PMI  (Apr),56.5
2018/05/01,USD,ISM Manufacturing PMI  (Apr),57.3
2018/05/01,USD,ISM Manufacturing Prices  (Apr),79.3
2018/05/02,USD,ADP Nonfarm Employment Change  (Apr),204K
2018/05/02,USD,Crude Oil Inventories,6.218M
2018/05/03,USD,FOMC Statement,
2018/05/03,USD,Fed Interest Rate Decision,1.75%
2018/05/03,EUR,CPI (YoY)  (Apr),1.2%
2018/05/03,USD,Initial Jobless Claims,211K
2018/05/03,USD,S&P Global Services PMI  (Apr),54.6
2018/05/03,USD,Durable Goods Orders (MoM),2.6%
2018/05/03,USD,ISM Non-Manufacturing PMI  (Apr),56.8
2018/05/03,USD,ISM Non-Manufacturing Prices  (Apr),61.8
2018/05/04,USD,Average Hourly Earnings (MoM)  (Apr),0.1%
2018/05/04,USD,Nonfarm Payrolls  (Apr),164K
2018/05/04,USD,Unemployment Rate  (Apr),3.9%
2018/05/08,USD,Fed Chair Powell Speaks,
2018/05/08,USD,JOLTS Job Openings  (Mar),6.550M
2018/05/09,USD,PPI (MoM)  (Apr),0.1%
2018/05/09,USD,Crude Oil Inventories,-2.197M
2018/05/10,GBP,BoE Inflation Report,
2018/05/10,GBP,BoE Interest Rate Decision  (May),0.50%
2018/05/10,USD,Core CPI (MoM)  (Apr),0.1%
2018/05/10,USD,CPI (MoM)  (Apr),0.2%
2018/05/10,USD,CPI (YoY)  (Apr),2.5%
2018/05/10,USD,Initial Jobless Claims,211K
2018/05/15,USD,Core Retail Sales (MoM)  (Apr),0.3%
2018/05/15,USD,Retail Sales (MoM)  (Apr),0.3%
2018/05/16,JPY,GDP (QoQ)  (Q1),-0.2%
2018/05/16,EUR,CPI (YoY)  (Apr),1.2%
2018/05/16,USD,Crude Oil Inventories,-1.404M
2018/05/17,USD,Initial Jobless Claims,222K
2018/05/17,USD,Philadelphia Fed Manufacturing Index  (May),34.4
2018/05/22,GBP,BoE Gov Carney Speaks,
2018/05/23,GBP,CPI (YoY)  (Apr),2.4%
2018/05/23,USD,S&P Global Manufacturing PMI  (May),56.6
2018/05/23,USD,S&P Global Services PMI  (May),55.7
2018/05/23,USD,New Home Sales  (Apr),662K
2018/05/23,USD,Crude Oil Inventories,5.778M
2018/05/24,USD,FOMC Meeting Minutes,
2018/05/24,GBP,BoE Gov Carney Speaks,
2018/05/24,USD,Initial Jobless Claims,234K
2018/05/24,USD,Existing Home Sales  (Apr),5.46M
2018/05/25,GBP,BoE Gov Carney Speaks,
2018/05/25,GBP,GDP (YoY)  (Q1),1.2%
2018/05/25,GBP,GDP (QoQ)  (Q1),0.1%
2018/05/25,USD,Durable Goods Orders (MoM)  (Apr),-1.7%
2018/05/25,GBP,BoE Gov Carney Speaks,
2018/05/25,USD,Fed Chair Powell Speaks,
2018/05/30,USD,ADP Nonfarm Employment Change  (May),178K
2018/05/30,USD,GDP (QoQ)  (Q1),2.2%
2018/05/31,CNY,Manufacturing PMI  (May),51.9
2018/05/31,EUR,CPI (YoY)  (May),1.9%
2018/05/31,USD,Core PCE Price Index (YoY)  (Apr),1.8%
2018/05/31,USD,Core PCE Price Index (MoM)  (Apr),0.2%
2018/05/31,USD,Initial Jobless Claims,221K
2018/05/31,USD,Chicago PMI  (May),62.7
2018/05/31,USD,Crude Oil Inventories,-3.620M
2018/06/01,USD,Average Hourly Earnings (MoM)  (May),0.3%
2018/06/01,USD,Nonfarm Payrolls  (May),223K
2018/06/01,USD,Unemployment Rate  (May),3.8%
2018/06/01,USD,S&P Global Manufacturing PMI  (May),56.4
2018/06/01,USD,ISM Manufacturing PMI  (May),58.7
2018/06/01,USD,ISM Manufacturing Prices  (May),79.5
2018/06/04,USD,Durable Goods Orders (MoM),-1.6%
2018/06/05,USD,S&P Global Services PMI  (May),56.8
2018/06/05,USD,ISM Non-Manufacturing PMI  (May),58.6
2018/06/05,USD,ISM Non-Manufacturing Prices  (May),64.3
2018/06/05,USD,JOLTS Job Openings  (Apr),6.698M
2018/06/06,USD,Crude Oil Inventories,2.072M
2018/06/07,USD,Initial Jobless Claims,222K
2018/06/08,JPY,GDP (QoQ)  (Q1),-0.2%
2018/06/12,USD,Core CPI (MoM)  (May),0.2%
2018/06/12,USD,CPI (YoY)  (May),2.8%
2018/06/12,USD,CPI (MoM)  (May),0.2%
2018/06/13,GBP,CPI (YoY)  (May),2.4%
2018/06/13,USD,PPI (MoM)  (May),0.5%
2018/06/13,USD,Crude Oil Inventories,-4.143M
2018/06/14,USD,FOMC Economic Projections,
2018/06/14,USD,FOMC Statement,
2018/06/14,USD,Fed Interest Rate Decision,2.00%
2018/06/14,USD,FOMC Press Conference,
2018/06/14,EUR,Deposit Facility Rate,-0.40%
2018/06/14,EUR,ECB Interest Rate Decision  (Jun),0.00%
2018/06/14,USD,Core Retail Sales (MoM)  (May),0.9%
2018/06/14,USD,Initial Jobless Claims,218K
2018/06/14,USD,Retail Sales (MoM)  (May),0.8%
2018/06/14,EUR,ECB Press Conference,
2018/06/15,JPY,BoJ Interest Rate Decision,-0.10%
2018/06/15,EUR,CPI (YoY)  (May),1.9%
2018/06/20,USD,Fed Chair Powell Speaks,
2018/06/20,USD,Existing Home Sales  (May),5.43M
2018/06/20,USD,Crude Oil Inventories,-5.914M
2018/06/21,GBP,BoE Interest Rate Decision  (Jun),0.50%
2018/06/21,USD,Initial Jobless Claims,218K
2018/06/21,USD,Philadelphia Fed Manufacturing Index  (Jun),19.9
2018/06/22,GBP,BoE Gov Carney Speaks,
2018/06/22,USD,S&P Global Manufacturing PMI  (Jun),54.6
2018/06/22,USD,S&P Global Services PMI  (Jun),56.5
2018/06/25,USD,New Home Sales  (May),689K
2018/06/27,GBP,BoE Gov Carney Speaks,
2018/06/27,USD,Durable Goods Orders (MoM)  (May),-0.6%
2018/06/27,USD,Crude Oil Inventories,-9.891M
2018/06/28,USD,GDP (QoQ)  (Q1),2.0%
2018/06/28,USD,Initial Jobless Claims,227K
2018/06/29,GBP,GDP (YoY)  (Q1),1.2%
2018/06/29,GBP,GDP (QoQ)  (Q1),0.2%
2018/06/29,EUR,CPI (YoY)  (Jun),2.0%
2018/06/29,USD,Core PCE Price Index (YoY)  (May),2.0%
2018/06/29,USD,Core PCE Price Index (MoM)  (May),0.2%
2018/06/29,USD,Chicago PMI  (Jun),64.1
2018/06/30,CNY,Manufacturing PMI  (Jun),51.5
2018/07/02,USD,S&P Global Manufacturing PMI  (Jun),55.4
2018/07/02,USD,ISM Manufacturing PMI  (Jun),60.2
2018/07/02,USD,ISM Manufacturing Prices  (Jun),76.8
2018/07/03,USD,Durable Goods Orders (MoM),-0.4%
2018/07/05,GBP,BoE Gov Carney Speaks,
2018/07/05,USD,ADP Nonfarm Employment Change  (Jun),177K
2018/07/05,USD,Initial Jobless Claims,231K
2018/07/05,USD,S&P Global Services PMI  (Jun),56.5
2018/07/05,USD,ISM Non-Manufacturing PMI  (Jun),59.1
2018/07/05,USD,ISM Non-Manufacturing Prices  (Jun),60.7
2018/07/05,USD,Crude Oil Inventories,1.245M
2018/07/06,USD,FOMC Meeting Minutes,
2018/07/06,USD,Average Hourly Earnings (MoM)  (Jun),0.2%
2018/07/06,USD,Nonfarm Payrolls  (Jun),213K
2018/07/06,USD,Unemployment Rate  (Jun),4.0%
2018/07/10,GBP,GDP (MoM),0.3%
2018/07/10,USD,JOLTS Job Openings  (May),6.638M
2018/07/11,USD,PPI (MoM)  (Jun),0.3%
2018/07/11,USD,Crude Oil Inventories,-12.633M
2018/07/11,GBP,BoE Gov Carney Speaks,
2018/07/12,USD,Core CPI (MoM)  (Jun),0.2%
2018/07/12,USD,CPI (YoY)  (Jun),2.9%
2018/07/12,USD,CPI (MoM)  (Jun),0.1%
2018/07/12,USD,Initial Jobless Claims,214K
2018/07/13,USD,Fed Monetary Policy Report,
2018/07/16,CNY,GDP (YoY)  (Q2),6.7%
2018/07/16,USD,Core Retail Sales (MoM)  (Jun),0.4%
2018/07/16,USD,Retail Sales (MoM)  (Jun),0.5%
2018/07/17,GBP,BoE Gov Carney Speaks,
2018/07/17,USD,Fed Chair Powell Testifies,
2018/07/18,GBP,CPI (YoY)  (Jun),2.4%
2018/07/18,EUR,CPI (YoY)  (Jun),2.0%
2018/07/18,USD,Fed Chair Powell Testifies,
2018/07/18,USD,Crude Oil Inventories,5.836M
2018/07/19,USD,Initial Jobless Claims,207K
2018/07/19,USD,Philadelphia Fed Manufacturing Index  (Jul),25.7
2018/07/23,USD,Existing Home Sales  (Jun),5.38M
2018/07/24,USD,S&P Global Manufacturing PMI  (Jul),55.5
2018/07/24,USD,S&P Global Services PMI  (Jul),56.2
2018/07/25,USD,New Home Sales  (Jun),631K
2018/07/25,USD,Crude Oil Inventories,-6.147M
2018/07/26,EUR,Deposit Facility Rate,-0.40%
2018/07/26,EUR,ECB Interest Rate Decision  (Jul),0.00%
2018/07/26,USD,Durable Goods Orders (MoM)  (Jun),1.0%
2018/07/26,USD,Initial Jobless Claims,217K
2018/07/26,EUR,ECB Press Conference,
2018/07/27,USD,GDP (QoQ)  (Q2),4.1%
2018/07/31,CNY,Manufacturing PMI  (Jul),51.2
2018/07/31,JPY,BoJ Interest Rate Decision,-0.10%
2018/07/31,EUR,CPI (YoY)  (Jul),2.1%
2018/07/31,USD,Core PCE Price Index (MoM)  (Jun),0.1%
2018/07/31,USD,Core PCE Price Index (YoY)  (Jun),1.9%
2018/07/31,USD,Chicago PMI  (Jul),65.5
2018/08/01,USD,ADP Nonfarm Employment Change  (Jul),219K
2018/08/01,USD,S&P Global Manufacturing PMI  (Jul),55.3
2018/08/01,USD,ISM Manufacturing PMI  (Jul),58.1
2018/08/01,USD,ISM Manufacturing Prices  (Jul),73.2
2018/08/01,USD,Crude Oil Inventories,3.803M
2018/08/02,USD,FOMC Statement,
2018/08/02,USD,Fed Interest Rate Decision,2.00%
2018/08/02,GBP,BoE Inflation Report,
2018/08/02,GBP,BoE Interest Rate Decision  (Aug),0.75%
2018/08/02,GBP,BoE Gov Carney Speaks,
2018/08/02,USD,Initial Jobless Claims,218K
2018/08/03,USD,Average Hourly Earnings (MoM)  (Jul),0.3%
2018/08/03,USD,Nonfarm Payrolls  (Jul),157K
2018/08/03,USD,Unemployment Rate  (Jul),3.9%
2018/08/03,USD,S&P Global Services PMI  (Jul),56.0
2018/08/03,USD,ISM Non-Manufacturing PMI  (Jul),55.7
2018/08/03,USD,ISM Non-Manufacturing Prices  (Jul),63.4
2018/08/07,USD,JOLTS Job Openings  (Jun),6.662M
2018/08/08,USD,Crude Oil Inventories,-1.351M
2018/08/09,USD,Initial Jobless Claims,213K
2018/08/09,USD,PPI (MoM)  (Jul),0.0%
2018/08/10,JPY,GDP (QoQ)  (Q2),0.5%
2018/08/10,GBP,GDP (MoM),0.1%
2018/08/10,GBP,GDP (QoQ)  (Q2),0.4%
2018/08/10,GBP,GDP (YoY)  (Q2),1.3%
2018/08/10,USD,Core CPI (MoM)  (Jul),0.2%
2018/08/10,USD,CPI (YoY)  (Jul),2.9%
2018/08/10,USD,CPI (MoM)  (Jul),0.2%
2018/08/15,GBP,CPI (YoY)  (Jul),2.5%
2018/08/15,USD,Core Retail Sales (MoM)  (Jul),0.6%
2018/08/15,USD,Retail Sales (MoM)  (Jul),0.5%
2018/08/15,USD,Crude Oil Inventories,6.805M
2018/08/16,USD,Initial Jobless Claims,212K
2018/08/16,USD,Philadelphia Fed Manufacturing Index  (Aug),11.9
2018/08/17,EUR,CPI (YoY)  (Jul),2.1%
2018/08/22,USD,Existing Home Sales  (Jul),5.34M
2018/08/22,USD,Crude Oil Inventories,-5.836M
2018/08/23,USD,FOMC Meeting Minutes,
2018/08/23,USD,Initial Jobless Claims,210K
2018/08/23,USD,S&P Global Manufacturing PMI  (Aug),54.5
2018/08/23,USD,S&P Global Services PMI  (Aug),55.2
2018/08/23,USD,New Home Sales  (Jul),627K
2018/08/24,USD,Durable Goods Orders (MoM)  (Jul),-1.7%
2018/08/24,USD,Fed Chair Powell Speaks,
2018/08/29,USD,GDP (QoQ)  (Q2),4.2%
2018/08/29,USD,Crude Oil Inventories,-2.566M
2018/08/30,USD,Core PCE Price Index (MoM)  (Jul),0.2%
2018/08/30,USD,Core PCE Price Index (YoY)  (Jul),2.0%
2018/08/30,USD,Initial Jobless Claims,213K
2018/08/31,CNY,Manufacturing PMI  (Aug),51.3
2018/08/31,EUR,CPI (YoY)  (Aug),2.0%
2018/08/31,USD,Chicago PMI  (Aug),63.6
2018/09/04,USD,S&P Global Manufacturing PMI  (Aug),54.7
2018/09/04,USD,ISM Manufacturing PMI  (Aug),61.3
2018/09/04,USD,ISM Manufacturing Prices  (Aug),72.1
2018/09/06,USD,ADP Nonfarm Employment Change  (Aug),163K
2018/09/06,USD,Initial Jobless Claims,203K
2018/09/06,USD,S&P Global Services PMI  (Aug),54.8
2018/09/06,USD,Durable Goods Orders (MoM),-1.7%
2018/09/06,USD,ISM Non-Manufacturing PMI  (Aug),58.5
2018/09/06,USD,ISM Non-Manufacturing Prices  (Aug),62.8
2018/09/06,USD,Crude Oil Inventories,-4.302M
2018/09/07,USD,Average Hourly Earnings (MoM)  (Aug),0.4%
2018/09/07,USD,Nonfarm Payrolls  (Aug),201K
2018/09/07,USD,Unemployment Rate  (Aug),3.9%
2018/09/10,JPY,GDP (QoQ)  (Q2),0.7%
2018/09/10,GBP,GDP (MoM),0.3%
2018/09/11,USD,JOLTS Job Openings  (Jul),6.939M
2018/09/12,USD,PPI (MoM)  (Aug),-0.1%
2018/09/12,USD,Crude Oil Inventories,-5.296M
2018/09/13,GBP,BoE Interest Rate Decision  (Sep),0.75%
2018/09/13,EUR,Deposit Facility Rate,-0.40%
2018/09/13,EUR,ECB Interest Rate Decision  (Sep),0.00%
2018/09/13,USD,Core CPI (MoM)  (Aug),0.1%
2018/09/13,USD,CPI (YoY)  (Aug),2.7%
2018/09/13,USD,CPI (MoM)  (Aug),0.2%
2018/09/13,USD,Initial Jobless Claims,204K
2018/09/13,EUR,ECB Press Conference,
2018/09/14,GBP,BoE Gov Carney Speaks,
2018/09/14,USD,Core Retail Sales (MoM)  (Aug),0.3%
2018/09/14,USD,Retail Sales (MoM)  (Aug),0.1%
2018/09/17,EUR,CPI (YoY)  (Aug),2.0%
2018/09/19,JPY,BoJ Interest Rate Decision,-0.10%
2018/09/19,GBP,CPI (YoY)  (Aug),2.7%
2018/09/19,USD,Crude Oil Inventories,-2.057M
2018/09/20,USD,Initial Jobless Claims,201K
2018/09/20,USD,Philadelphia Fed Manufacturing Index  (Sep),22.9
2018/09/20,USD,Existing Home Sales  (Aug),5.34M
2018/09/21,USD,S&P Global Manufacturing PMI  (Sep),55.6
2018/09/21,USD,S&P Global Services PMI  (Sep),52.9
2018/09/26,USD,New Home Sales  (Aug),629K
2018/09/26,USD,Crude Oil Inventories,1.852M
2018/09/27,USD,FOMC Economic Projections,
2018/09/27,USD,FOMC Statement,
2018/09/27,USD,Fed Interest Rate Decision,2.25%
2018/09/27,USD,FOMC Press Conference,
2018/09/27,USD,Durable Goods Orders (MoM)  (Aug),4.5%
2018/09/27,USD,GDP (QoQ)  (Q2),4.2%
2018/09/27,USD,Initial Jobless Claims,214K
2018/09/27,GBP,BoE Gov Carney Speaks,
2018/09/28,USD,Fed Chair Powell Speaks,
2018/09/28,GBP,GDP (YoY)  (Q2),1.2%
