Tanggal,Mata Uang,Event,Aktual
2018/01/12,CNY,Trade Balance (USD)  (Dec),54.69B
2018/01/12,CNY,New Loans  (Dec),584.4B
2018/01/12,USD,Core CPI (YoY)  (Dec),1.8%
2018/01/12,USD,Core CPI (MoM)  (Dec),0.3%
2018/01/12,USD,Core Retail Sales (MoM)  (Dec),0.4%
2018/01/12,USD,CPI (YoY)  (Dec),2.1%
2018/01/12,USD,CPI (MoM)  (Dec),0.1%
2018/01/12,USD,Retail Control (MoM)  (Dec),0.3%
2018/01/12,USD,Retail Sales (MoM)  (Dec),0.4%
2018/01/12,USD,Business Inventories (MoM)  (Nov),0.4%
2018/01/12,EUR,German Buba President Weidmann Speaks,
2018/01/13,USD,WASDE Report,
2018/01/13,USD,U.S. Baker Hughes Oil Rig Count,752
2018/01/13,USD,U.S. Baker Hughes Total Rig Count,939.0
2018/01/13,GBP,CFTC GBP speculative net positions,25.5K
2018/01/13,USD,CFTC Crude Oil speculative net positions,657.6K
2018/01/13,USD,CFTC Gold speculative net positions,203.3K
2018/01/13,USD,CFTC S&P 500 speculative net positions,77.4K
2018/01/13,JPY,CFTC JPY speculative net positions,-125.5K
2018/01/13,USD,FOMC Member Rosengren Speaks,
2018/01/15,GBP,Investing.com GBP/USD Index,48.7%
2018/01/15,USD,Investing.com Gold Index,68.1%
2018/01/15,JPY,Investing.com USD/JPY Index,67.2%
2018/01/16,GBP,MPC Member Tenreyro Speaks,
2018/01/16,JPY,Tertiary Industry Activity Index (MoM),1.1%
2018/01/16,EUR,German CPI (YoY)  (Dec),1.7%
2018/01/16,EUR,German CPI (MoM)  (Dec),0.6%
2018/01/16,GBP,CPI (MoM)  (Dec),0.4%
2018/01/16,GBP,CPI (YoY)  (Dec),3.0%
2018/01/16,GBP,CPIH (YoY),2.7%
2018/01/16,GBP,PPI Input (MoM)  (Dec),0.1%
2018/01/16,USD,NY Empire State Manufacturing Index  (Jan),17.70
2018/01/17,GBP,BoE MPC Member Saunders Speaks,
2018/01/17,USD,Industrial Production (MoM)  (Dec),0.9%
2018/01/18,USD,Beige Book,
2018/01/18,USD,FOMC Member Kaplan Speaks,
2018/01/18,USD,Fed's Balance Sheet,"4,439.15B"
2018/01/18,USD,TIC Net Long-Term Transactions  (Nov),57.5B
2018/01/18,USD,FOMC Member Mester Speaks,
2018/01/18,USD,API Weekly Crude Oil Stock,-5.121M
2018/01/18,JPY,Industrial Production (MoM)  (Nov),0.5%
2018/01/18,CNY,Fixed Asset Investment (YoY)  (Dec),7.2%
2018/01/18,CNY,GDP (QoQ)  (Q4),1.6%
2018/01/18,CNY,GDP (YoY)  (Q4),6.8%
2018/01/18,CNY,Industrial Production (YoY)  (Dec),6.2%
2018/01/18,EUR,German Buba President Weidmann Speaks,
2018/01/18,USD,OPEC Monthly Report,
2018/01/18,USD,Building Permits  (Dec),1.302M
2018/01/18,USD,Continuing Jobless Claims,"1,952K"
2018/01/18,USD,Housing Starts (MoM)  (Dec),-8.2%
2018/01/18,USD,Housing Starts  (Dec),1.192M
2018/01/18,USD,Initial Jobless Claims,220K
2018/01/18,USD,Philadelphia Fed Manufacturing Index  (Jan),22.2
2018/01/18,USD,Philly Fed Employment  (Jan),16.8
2018/01/18,USD,Crude Oil Inventories,-6.861M
2018/01/18,USD,Cushing Crude Oil Inventories,-4.184M
2018/01/19,USD,10-Year TIPS Auction,0.548%
2018/01/19,EUR,German PPI (MoM)  (Dec),0.2%
2018/01/19,USD,IEA Monthly Report,
2018/01/19,GBP,Core Retail Sales (MoM)  (Dec),-1.6%
2018/01/19,GBP,Core Retail Sales (YoY)  (Dec),1.3%
2018/01/19,GBP,Retail Sales (YoY)  (Dec),1.4%
2018/01/19,GBP,Retail Sales (MoM)  (Dec),-1.5%
2018/01/19,USD,Michigan 1-Year Inflation Expectations  (Jan),2.8%
2018/01/19,USD,Michigan 5-Year Inflation Expectations  (Jan),2.50%
2018/01/19,USD,Michigan Consumer Expectations  (Jan),84.8
2018/01/19,USD,Michigan Consumer Sentiment  (Jan),94.4
2018/01/20,USD,U.S. Baker Hughes Oil Rig Count,747
2018/01/20,USD,FOMC Member Quarles Speaks,
2018/01/20,USD,U.S. Baker Hughes Total Rig Count,936.0
2018/01/20,GBP,CFTC GBP speculative net positions,26.2K
2018/01/20,USD,CFTC Crude Oil speculative net positions,707.8K
2018/01/20,USD,CFTC Gold speculative net positions,211.7K
2018/01/20,USD,CFTC S&P 500 speculative net positions,122.5K
2018/01/20,JPY,CFTC JPY speculative net positions,-119.4K
2018/01/22,GBP,Investing.com GBP/USD Index,46.6%
2018/01/22,USD,Investing.com Gold Index,65.8%
2018/01/22,JPY,Investing.com USD/JPY Index,66.0%
2018/01/23,JPY,BoJ Monetary Policy Statement,
2018/01/23,JPY,BoJ Outlook Report (YoY),
2018/01/23,JPY,BoJ Interest Rate Decision,-0.10%
2018/01/23,JPY,BoJ Press Conference,
2018/01/23,EUR,German ZEW Current Conditions  (Jan),95.2
2018/01/23,EUR,German ZEW Economic Sentiment  (Jan),20.4
2018/01/24,USD,2-Year Note Auction,2.066%
2018/01/24,USD,API Weekly Crude Oil Stock,4.755M
2018/01/24,JPY,Adjusted Trade Balance,0.09T
2018/01/24,JPY,Exports (YoY)  (Dec),9.3%
2018/01/24,JPY,Trade Balance  (Dec),359B
2018/01/24,GBP,Average Earnings Index +Bonus  (Nov),2.5%
2018/01/24,GBP,Claimant Count Change  (Dec),8.6K
2018/01/24,GBP,Unemployment Rate  (Nov),4.3%
2018/01/24,USD,Existing Home Sales (MoM)  (Dec),-3.6%
2018/01/24,USD,Existing Home Sales  (Dec),5.57M
2018/01/24,USD,Crude Oil Inventories,-1.071M
2018/01/24,USD,Cushing Crude Oil Inventories,-3.150M
2018/01/25,USD,5-Year Note Auction,2.434%
2018/01/25,USD,Fed's Balance Sheet,"4,441.32B"
2018/01/25,EUR,GfK German Consumer Climate  (Feb),11.0
2018/01/25,EUR,German Business Expectations  (Jan),108.4
2018/01/25,EUR,German Current Assessment  (Jan),127.7
2018/01/25,EUR,German Ifo Business Climate Index  (Jan),105.0
2018/01/25,GBP,Gross Mortgage Approvals,36.1K
2018/01/25,USD,Continuing Jobless Claims,"1,937K"
2018/01/25,USD,Initial Jobless Claims,233K
2018/01/25,USD,New Home Sales (MoM)  (Dec),-9.3%
2018/01/25,USD,New Home Sales  (Dec),625K
2018/01/25,USD,US Leading Index (MoM)  (Dec),0.6%
2018/01/26,USD,7-Year Note Auction,2.565%
2018/01/26,JPY,National Core CPI (YoY)  (Dec),0.9%
2018/01/26,JPY,National CPI (MoM),0.2%
2018/01/26,JPY,Tokyo Core CPI (YoY)  (Jan),0.7%
2018/01/26,JPY,Monetary Policy Meeting Minutes,
2018/01/26,GBP,GDP (YoY)  (Q4),1.5%
2018/01/26,GBP,GDP (QoQ)  (Q4),0.5%
2018/01/26,USD,FOMC Member Bullard Speaks,
2018/01/26,USD,U.S. President Trump Speaks,
2018/01/26,USD,Core Durable Goods Orders (MoM)  (Dec),0.6%
2018/01/26,USD,Core PCE Prices,1.90%
2018/01/26,USD,Durable Goods Orders (MoM)  (Dec),2.9%
2018/01/26,USD,GDP (QoQ)  (Q4),2.6%
2018/01/26,USD,GDP Price Index (QoQ)  (Q4),2.4%
2018/01/26,USD,Goods Trade Balance  (Dec),-71.58B
2018/01/26,GBP,BoE Gov Carney Speaks,
2018/01/26,JPY,BoJ Governor Kuroda Speaks,
2018/01/27,USD,U.S. Baker Hughes Oil Rig Count,759
2018/01/27,USD,U.S. Baker Hughes Total Rig Count,947.0
2018/01/27,GBP,CFTC GBP speculative net positions,33.0K
2018/01/27,USD,CFTC Crude Oil speculative net positions,716.7K
2018/01/27,USD,CFTC Gold speculative net positions,214.7K
2018/01/27,USD,CFTC S&P 500 speculative net positions,166.5K
2018/01/27,JPY,CFTC JPY speculative net positions,-122.9K
2018/01/29,GBP,Investing.com GBP/USD Index,52.0%
2018/01/29,USD,Investing.com Gold Index,63.9%
2018/01/29,JPY,Investing.com USD/JPY Index,69.4%
2018/01/29,USD,Core PCE Price Index (MoM)  (Dec),0.2%
2018/01/29,USD,Core PCE Price Index (YoY)  (Dec),1.5%
2018/01/29,USD,Personal Spending (MoM)  (Dec),0.4%
2018/01/30,JPY,Household Spending (MoM)  (Dec),-2.5%
2018/01/30,JPY,Household Spending (YoY)  (Dec),-0.1%
2018/01/30,JPY,BoJ Core CPI (YoY),0.7%
2018/01/30,EUR,German CPI (MoM)  (Jan),-0.7%
2018/01/30,EUR,German CPI (YoY)  (Jan),1.6%
2018/01/30,USD,S&P/CS HPI Composite - 20 n.s.a. (YoY)  (Nov),6.4%
2018/01/30,USD,S&P/CS HPI Composite - 20 n.s.a. (MoM)  (Nov),0.2%
2018/01/30,USD,CB Consumer Confidence  (Jan),125.4
2018/01/30,GBP,BoE Gov Carney Speaks,
2018/01/31,USD,API Weekly Crude Oil Stock,3.229M
2018/01/31,JPY,Industrial Production (MoM)  (Dec),2.7%
2018/01/31,CNY,Manufacturing PMI  (Jan),51.3
2018/01/31,CNY,Non-Manufacturing PMI  (Jan),55.3
2018/01/31,JPY,BOJ Board Member Iwata Speaks,
2018/01/31,USD,U.S. President Trump Speaks,
2018/01/31,EUR,German Retail Sales (MoM)  (Dec),-1.9%
2018/01/31,EUR,German Unemployment Change  (Jan),-25K
2018/01/31,EUR,German Unemployment Rate  (Jan),5.4%
2018/01/31,USD,ADP Nonfarm Employment Change  (Jan),234K
2018/01/31,USD,Employment Cost Index (QoQ)  (Q4),0.6%
2018/01/31,USD,Chicago PMI  (Jan),65.7
2018/01/31,USD,Pending Home Sales (MoM)  (Dec),0.5%
2018/01/31,USD,Crude Oil Inventories,6.776M
2018/01/31,USD,Cushing Crude Oil Inventories,-2.224M
2018/02/01,USD,FOMC Statement,
2018/02/01,USD,Fed Interest Rate Decision,1.50%
2018/02/01,USD,Fed's Balance Sheet,"4,419.23B"
2018/02/01,JPY,10-Year JGB Auction,0.088%
2018/02/01,GBP,Nationwide HPI (YoY)  (Jan),3.2%
2018/02/01,GBP,Nationwide HPI (MoM)  (Jan),0.6%
2018/02/01,USD,Continuing Jobless Claims,"1,953K"
2018/02/01,USD,Initial Jobless Claims,230K
2018/02/01,USD,Nonfarm Productivity (QoQ)  (Q4),-0.1%
2018/02/01,USD,Unit Labor Costs (QoQ)  (Q4),2.0%
2018/02/01,USD,Construction Spending (MoM)  (Dec),0.7%
2018/02/01,USD,ISM Manufacturing Employment  (Jan),54.2
2018/02/01,USD,ISM Manufacturing PMI  (Jan),59.1
2018/02/01,USD,ISM Manufacturing Prices  (Jan),72.7
2018/02/02,USD,Average Hourly Earnings (MoM)  (Jan),0.3%
2018/02/02,USD,Nonfarm Payrolls  (Jan),200K
2018/02/02,USD,Participation Rate  (Jan),62.7%
2018/02/02,USD,"Payrolls Benchmark, n.s.a.",138.00K
2018/02/02,USD,Private Nonfarm Payrolls  (Jan),196K
2018/02/02,USD,U6 Unemployment Rate  (Jan),8.2%
2018/02/02,USD,Unemployment Rate  (Jan),4.1%
2018/02/02,USD,Cap Goods Ship Non Defense Ex Air (MoM),0.4%
2018/02/02,USD,Factory Orders (MoM)  (Dec),1.7%
2018/02/02,USD,Michigan 1-Year Inflation Expectations  (Jan),2.7%
2018/02/02,USD,Michigan 5-Year Inflation Expectations  (Jan),2.50%
2018/02/02,USD,Michigan Consumer Expectations  (Jan),86.3
2018/02/02,USD,Michigan Consumer Sentiment  (Jan),95.7
2018/02/03,USD,U.S. Baker Hughes Oil Rig Count,765
2018/02/03,USD,U.S. Baker Hughes Total Rig Count,946.0
2018/02/03,GBP,CFTC GBP speculative net positions,31.7K
2018/02/03,USD,CFTC Crude Oil speculative net positions,734.6K
2018/02/03,USD,CFTC Gold speculative net positions,207.3K
2018/02/03,USD,CFTC S&P 500 speculative net positions,172.8K
2018/02/03,USD,FOMC Member Williams Speaks,
2018/02/03,JPY,CFTC JPY speculative net positions,-114.7K
2018/02/05,JPY,BoJ Governor Kuroda Speaks,
2018/02/05,GBP,Investing.com GBP/USD Index,44.8%
2018/02/05,USD,Investing.com Gold Index,57.1%
2018/02/05,JPY,Investing.com USD/JPY Index,59.0%
2018/02/05,USD,ISM Non-Manufacturing Employment  (Jan),61.6
2018/02/05,USD,ISM Non-Manufacturing PMI  (Jan),59.9
2018/02/05,USD,ISM Non-Manufacturing Prices  (Jan),61.9
2018/02/06,GBP,BRC Retail Sales Monitor (YoY)  (Jan),0.6%
2018/02/06,EUR,German Factory Orders (MoM)  (Dec),3.8%
2018/02/06,EUR,German Buba President Weidmann Speaks,
2018/02/06,USD,Exports,203.35B
2018/02/06,USD,Imports,256.47B
2018/02/06,USD,Trade Balance  (Dec),-53.10B
2018/02/06,USD,FOMC Member Bullard Speaks,
2018/02/06,USD,JOLTS Job Openings  (Dec),5.811M
2018/02/07,USD,3-Year Note Auction,2.280%
2018/02/07,USD,API Weekly Crude Oil Stock,-1.050M
2018/02/07,EUR,German Industrial Production (MoM)  (Dec),-0.6%
2018/02/07,GBP,Halifax House Price Index (MoM)  (Jan),-0.6%
2018/02/07,GBP,Halifax House Price Index (YoY)  (Jan),2.2%
2018/02/07,EUR,German 10-Year Bund Auction,0.690%
2018/02/07,USD,FOMC Member Kaplan Speaks,
2018/02/07,USD,FOMC Member Dudley Speaks,
2018/02/07,USD,Crude Oil Inventories,1.895M
2018/02/07,USD,Cushing Crude Oil Inventories,-0.711M
2018/02/08,USD,10-Year Note Auction,2.811%
2018/02/08,USD,Consumer Credit  (Dec),18.45B
2018/02/08,USD,Fed's Balance Sheet,"4,420.75B"
2018/02/08,USD,FOMC Member Williams Speaks,
2018/02/08,JPY,Adjusted Current Account,1.48T
2018/02/08,JPY,Current Account n.s.a.  (Dec),0.797T
2018/02/08,JPY,BoJ Board Member Suzuki Speaks,
2018/02/08,CNY,Exports (YoY)  (Jan),11.1%
2018/02/08,CNY,Imports (YoY)  (Jan),36.9%
2018/02/08,CNY,Trade Balance (USD)  (Jan),20.34B
2018/02/08,EUR,German Trade Balance  (Dec),21.4B
2018/02/08,EUR,German Buba President Weidmann Speaks,
2018/02/08,USD,FOMC Member Kaplan Speaks,
2018/02/08,GBP,BOE Inflation Letter,
2018/02/08,GBP,BoE Inflation Report,
2018/02/08,GBP,BoE MPC vote cut  (Feb),0
2018/02/08,GBP,BoE MPC vote hike  (Feb),0
2018/02/08,GBP,BoE MPC vote unchanged  (Feb),9
2018/02/08,GBP,BoE QE Total  (Feb),435B
2018/02/08,GBP,BoE Interest Rate Decision  (Feb),0.50%
2018/02/08,GBP,BoE Gov Carney Speaks,
2018/02/08,USD,FOMC Member Harker Speaks,
2018/02/08,USD,Continuing Jobless Claims,"1,923K"
2018/02/08,USD,Initial Jobless Claims,221K
2018/02/08,USD,FOMC Member Kashkari Speaks,
2018/02/09,USD,WASDE Report,
2018/02/09,USD,30-Year Bond Auction,3.121%
2018/02/09,CNY,CPI (YoY)  (Jan),1.5%
2018/02/09,CNY,CPI (MoM)  (Jan),0.6%
2018/02/09,CNY,PPI (YoY)  (Jan),4.3%
2018/02/09,JPY,Tertiary Industry Activity Index (MoM),-0.2%
2018/02/09,GBP,Industrial Production (MoM)  (Dec),-1.3%
2018/02/09,GBP,Manufacturing Production (MoM)  (Dec),0.3%
2018/02/09,GBP,Trade Balance  (Dec),-13.58B
2018/02/09,GBP,Trade Balance Non-EU  (Dec),-5.18B
2018/02/09,GBP,NIESR GDP Estimate,0.5%
2018/02/09,GBP,BoE MPC Member Cunliffe Speaks,
2018/02/10,USD,U.S. Baker Hughes Oil Rig Count,791
2018/02/10,USD,U.S. Baker Hughes Total Rig Count,975.0
2018/02/10,GBP,CFTC GBP speculative net positions,27.9K
2018/02/10,USD,CFTC Crude Oil speculative net positions,739.1K
2018/02/10,USD,CFTC Gold speculative net positions,190.9K
2018/02/10,USD,CFTC S&P 500 speculative net positions,286.2K
2018/02/10,JPY,CFTC JPY speculative net positions,-112.9K
2018/02/12,GBP,Investing.com GBP/USD Index,53.9%
2018/02/12,USD,Investing.com Gold Index,61.0%
2018/02/12,JPY,Investing.com USD/JPY Index,48.8%
2018/02/12,CNY,New Loans  (Jan),"2,900.0B"
2018/02/12,GBP,MPC Member Vlieghe Speaks,
2018/02/12,USD,OPEC Monthly Report,
2018/02/12,GBP,BoE MPC Member McCafferty Speaks,
2018/02/13,USD,Federal Budget Balance  (Jan),49.0B
2018/02/13,JPY,BoJ Governor Kuroda Speaks,
2018/02/13,USD,IEA Monthly Report,
2018/02/13,GBP,CPI (YoY)  (Jan),3.0%
2018/02/13,GBP,CPI (MoM)  (Jan),-0.5%
2018/02/13,GBP,CPIH (YoY),2.7%
2018/02/13,GBP,PPI Input (MoM)  (Jan),0.7%
2018/02/13,USD,FOMC Member Mester Speaks,
2018/02/14,USD,API Weekly Crude Oil Stock,3.947M
2018/02/14,JPY,GDP (YoY)  (Q4),0.5%
2018/02/14,JPY,GDP (QoQ)  (Q4),0.1%
2018/02/14,JPY,GDP Price Index (YoY),0.0%
2018/02/14,EUR,German CPI (MoM)  (Jan),-0.7%
2018/02/14,EUR,German CPI (YoY)  (Jan),1.6%
2018/02/14,EUR,German GDP (QoQ)  (Q4),0.6%
2018/02/14,EUR,German GDP (YoY)  (Q4),2.3%
2018/02/14,EUR,German Buba President Weidmann Speaks,
2018/02/14,USD,Core CPI (YoY)  (Jan),1.8%
2018/02/14,USD,Core CPI (MoM)  (Jan),0.3%
2018/02/14,USD,Core Retail Sales (MoM)  (Jan),0.0%
2018/02/14,USD,CPI (YoY)  (Jan),2.1%
2018/02/14,USD,CPI (MoM)  (Jan),0.5%
2018/02/14,USD,Retail Control (MoM)  (Jan),0.0%
2018/02/14,USD,Retail Sales (MoM)  (Jan),-0.3%
2018/02/14,USD,Business Inventories (MoM)  (Dec),0.4%
2018/02/14,USD,Crude Oil Inventories,1.841M
2018/02/14,USD,Cushing Crude Oil Inventories,-3.642M
2018/02/15,USD,Fed's Balance Sheet,"4,434.86B"
2018/02/15,JPY,Industrial Production (MoM)  (Dec),2.9%
2018/02/15,USD,Continuing Jobless Claims,"1,942K"
2018/02/15,USD,Core PPI (MoM)  (Jan),0.4%
2018/02/15,USD,Initial Jobless Claims,230K
2018/02/15,USD,NY Empire State Manufacturing Index  (Feb),13.10
2018/02/15,USD,Philadelphia Fed Manufacturing Index  (Feb),25.8
2018/02/15,USD,Philly Fed Employment  (Feb),25.2
2018/02/15,USD,PPI (MoM)  (Jan),0.4%
2018/02/15,USD,Industrial Production (MoM)  (Jan),-0.1%
2018/02/16,USD,30-Year TIPS Auction,1.003%
2018/02/16,USD,TIC Net Long-Term Transactions  (Dec),27.3B
2018/02/16,GBP,Core Retail Sales (MoM)  (Jan),0.1%
2018/02/16,GBP,Core Retail Sales (YoY)  (Jan),1.5%
2018/02/16,GBP,Retail Sales (YoY)  (Jan),1.6%
2018/02/16,GBP,Retail Sales (MoM)  (Jan),0.1%
2018/02/16,USD,Building Permits  (Jan),1.396M
2018/02/16,USD,Export Price Index (MoM)  (Jan),0.8%
2018/02/16,USD,Housing Starts (MoM)  (Jan),9.7%
2018/02/16,USD,Housing Starts  (Jan),1.326M
2018/02/16,USD,Import Price Index (MoM)  (Jan),1.0%
2018/02/16,USD,Michigan 1-Year Inflation Expectations  (Feb),2.7%
2018/02/16,USD,Michigan 5-Year Inflation Expectations  (Feb),2.50%
2018/02/16,USD,Michigan Consumer Expectations  (Feb),90.2
2018/02/16,USD,Michigan Consumer Sentiment  (Feb),99.9
2018/02/17,USD,U.S. Baker Hughes Oil Rig Count,798
2018/02/17,USD,U.S. Baker Hughes Total Rig Count,975.0
2018/02/17,GBP,CFTC GBP speculative net positions,14.9K
2018/02/17,USD,CFTC Crude Oil speculative net positions,712.3K
2018/02/17,USD,CFTC Gold speculative net positions,175.6K
2018/02/17,USD,CFTC S&P 500 speculative net positions,179.0K
2018/02/17,JPY,CFTC JPY speculative net positions,-115.5K
2018/02/19,JPY,Adjusted Trade Balance,0.37T
2018/02/19,JPY,Exports (YoY)  (Jan),12.2%
2018/02/19,JPY,Trade Balance  (Jan),-943B
2018/02/19,GBP,Investing.com GBP/USD Index,46.1%
2018/02/19,USD,Investing.com Gold Index,57.3%
2018/02/19,JPY,Investing.com USD/JPY Index,74.4%
2018/02/20,GBP,BoE Gov Carney Speaks,
2018/02/20,EUR,German PPI (MoM)  (Jan),0.5%
2018/02/20,EUR,German ZEW Current Conditions  (Feb),92.3
2018/02/20,EUR,German ZEW Economic Sentiment  (Feb),17.8
2018/02/21,USD,2-Year Note Auction,2.255%
2018/02/21,JPY,BOJ Board Member Funo Speaks,
2018/02/21,GBP,Average Earnings Index +Bonus  (Dec),2.5%
2018/02/21,GBP,Claimant Count Change  (Jan),-7.2K
2018/02/21,GBP,Employment Change 3M/3M (MoM),88.0K
2018/02/21,GBP,Unemployment Rate  (Dec),4.4%
2018/02/21,USD,FOMC Member Harker Speaks,
2018/02/21,GBP,BoE Gov Carney Speaks,
2018/02/21,GBP,BoE MPC Member Haldane Speaks,
2018/02/21,GBP,MPC Member Tenreyro Speaks,
2018/02/21,GBP,Inflation Report Hearings,
2018/02/21,GBP,BoE MPC Member Broadbent Speaks,
2018/02/21,USD,Existing Home Sales (MoM)  (Jan),-3.2%
2018/02/21,USD,Existing Home Sales  (Jan),5.38M
2018/02/22,USD,5-Year Note Auction,2.658%
2018/02/22,USD,FOMC Meeting Minutes,
2018/02/22,USD,Fed's Balance Sheet,"4,411.66B"
2018/02/22,USD,API Weekly Crude Oil Stock,-0.907M
2018/02/22,USD,FOMC Member Kashkari Speaks,
2018/02/22,USD,FOMC Member Quarles Speaks,
2018/02/22,EUR,German Business Expectations  (Feb),105.4
2018/02/22,EUR,German Current Assessment  (Feb),126.3
2018/02/22,EUR,German Ifo Business Climate Index  (Feb),104.3
2018/02/22,GBP,Business Investment (QoQ)  (Q4),0.0%
2018/02/22,GBP,Exports (QoQ),-0.2%
2018/02/22,GBP,GDP (YoY)  (Q4),1.4%
2018/02/22,GBP,GDP (QoQ)  (Q4),0.4%
2018/02/22,GBP,Imports (QoQ),1.5%
2018/02/22,USD,Continuing Jobless Claims,"1,875K"
2018/02/22,USD,Initial Jobless Claims,222K
