Judul,Berita,Kategori
9 Cara Sederhana Bakar Lemak Mengganggu di Area Lengan,"9 Cara Sederhana Bakar Lemak Mengganggu di Area Lengan
Tim Redaksi

KOMPAS.com - Menghilangkan penumpukan lemak membandel bisa menjadi tugas yang menantang bagi banyak orang.
Terutama di bagian lengan, kehadiran lemak di area menjadi satu hal yang sangat mengganggu penampilan.
Penelitian menunjukkan, membakar lemak di area ini dapat membuat tubuh lebih sehat, meningkatkan kepercayaan diri, dan bagi pria bisa meningkatkan testosteron.
Dalam mengatasinya, ada sejumlah cara yang dapat kita lakukan untuk membakar lemak di area itu dengan mudah.
Baca juga: 6 Minuman Sebelum Tidur yang Bisa Membantu Membakar Lemak Tubuh 
Kunci sukses membakar lemak di area lengan adalah dengan mengatur pola makan, mengubah gaya hidup serta latihan fisik yang tepat.
Melansir laman Healthline, berikut beberapa cara membakar lemak di area lengan yang bisa kita coba.
Pengurangan berat badan secara keseluruhan adalah teknik yang berfokus pada pembakaran lemak di bagian tubuh tertentu yang paling efektif, termasuk lengan.
Cara terbaik untuk melakukannya adalah dengan mengombinasikan latihan fisik untuk penurunan berat badan, mengatur pola makan dan olahraga yang membantu mengencangkan otot daripada menghilangkan lemak seperti angkat beban, pilates, yoga dan lain sebagainya.
Latihan ketahanan seperti angkat beban dapat membantu membangun massa otot dan meningkatkan kekuatan.
Mengangkat beban adalah cara umum untuk menghilangkan lemak di area lengan, sekaligus mengencangkannya agar tampak lebih ramping.
Menurut penelitian, latihan angkat beban yang dilakukan selama 12 minggu pada 28 wanita penderita diabetes tipe 2, bisa meningkatkan hilangnya lemak total sekaligus meningkatkan massa dan kekuatan otot.
Studi lain pada 109 orang yang diamati juga menunjukkan hasil yang serupa ketika dikombinasikan dengan latihan aerobik.
Membangun massa otot ini dapat meningkatkan metabolisme dan meningkatkan jumlah kalori yang dibakar saat tubuh beristirahat.
Menambahkan beberapa porsi serat dalam makanan yang dikonsumsi bisa mempercepat proses penurunan berat badan.
Cara ini juga bisa membantu menghilangkan kelebihan lemak yang ada di tubuh.
Menurut penelitian, asupan serat harian sebanyak 14 gram sehari dalam empat bulan dikaitkan dengan pengurangan total kalori sebesar 10 persen dan penurunan berat badan sebanyak 1,9 kg.
Buah-buahan, sayur, biji-bijian dan kacang-kacangan adalah beberapa contoh sumber asupan serat tinggi yang bisa dikonsumsi setiap hari.
Meningkatkan asupan protein adalah cara sederhana untuk mencegah nafsu makan berlebihan.
Pada gilirannya, kebiasaan ini dapat mendukung penurunan berat badan dan mengurangi kelebihan lemak di tubuh, termasuk pada lengan.
Baca juga: 5 Kebiasaan Sehat yang Bantu Membakar Lemak dengan Efektif 















Copyright 2008 - 2023 PT. Kompas Cyber Media (Kompas Gramedia Digital Group). All Rights Reserved.",lifestyle
Bayang Rembulan dalam Koleksi Busana Siap Pakai Sebastianred,"Bayang Rembulan dalam Koleksi Busana Siap Pakai Sebastianred
Tim Redaksi
KOMPAS.com - Duet desainer Cristina Panarese dan Sebastian Gunawan selalu punya cerita unik di balik setiap koleksinya.
Terbaru, untuk lini busana siap pakai (ready to wear), Sebastianred, mereka mengambil rangkaian aspek dari keindahan purnama dengan koleksi berjudul ""Ombra Lunare"" yang berarti bayang rembulan.
Koleksi Ombra Lunare dari Sebastianred ini pun ditampilkan dalam The Langham Fashion Soiree, hasil kerjasama antara The Langham Jakarta dan Ikatan Perancang Mode Indonesia (IPMI), Kamis (2/11/2023) lalu.
Baca juga: Alexandra Gottardo Kenakan Rancangan Sebastian Gunawan di Festival Film Spanyol
Sinar rembulan di langit malam, baik itu sedang sabit atau purnama (full moon), pergerakannya dapat memengaruhi mood alam.
Cahayanya menebarkan keindahan dan ketenangan, menghasilkan siluet dan bias warna yang elegan dan anggun.
Selain itu, gradasi bayangnya juga merefleksikan kelembutan, menciptakan tekstur karena refleksi kilau yang memukau dan gemerlap.
""Bagi saya, sebenarnya bayangan bulan itu sangat memengaruhi segala sesuatunya, termasuk mood, warna, dan juga karakter orang,"" kata Sebastian Gunawan atau yang akrab disapa Seba.
""Dari karakter-karakter ini akhirnya memengaruhi banyak aspek yang menarik, yang kita implementasikan di setiap rancangan,"" ungkap dia.
Semua aspek kemudian ditransformasikan Sebastianred ke dalam 50 set rancangan feminin dan modern.
Rancangan itu terdiri dari elemen-elemen yang bisa saling dipadupadankan.
Misalnya, cropped jacket dengan celana palazzo, overall long skirt dengan bra top, cropped kemeja berlengan lengkung sepeti bulan sabit yang bisa dikenakan dengan rok mini atau celana panjang high-waisted.
Baca juga: Mosaik Kehidupan Sebastian Gunawan dalam Koleksi Metaphor
Sementara, elemen lain yang melengkapi koleksi ini adalah corset dress, gaun mini mod look, gaun panjang, dan rok panjang bertingkat.
Lalu, ada pula siluet lengan dibuat romantis berbentuk bishop sleeve, siluet rok konsisten yang ramping di pinggang dan melebar lembut sampai lutut hingga menutup kaki.
""Memang kali ini banyak siluet yang berbeda karena koleksi ready to wear. Jadi, banyak pakaian yang sifatnya ada yang feminin, lebih easy to wear, bukan yang kayak koleksi saya yang signature,"" ujar Seba.















Copyright 2008 - 2023 PT. Kompas Cyber Media (Kompas Gramedia Digital Group). All Rights Reserved.",lifestyle
"Manfaat Cuka Apel untuk Memutihkan Gigi, Amankah?","Manfaat Cuka Apel untuk Memutihkan Gigi, Amankah?
Tim Redaksi

KOMPAS.com - Cuka apel sering digunakan sebagian orang untuk memutihkan gigi.
Cara ini dianggap efektif karena cuka apel memiliki sifat abrasif yang bisa menghilangkan noda membandel di gigi sehingga dapat mengembalikan warna alaminya.
Biasanya, cuka apel yang dijadikan pemutih gigi ini dibuat menjadi obat kumur setelah gosok gigi. Namun, apakah penggunaan cuka apel ini aman dalam jangka panjang? Untuk lebih jelasnya coba simak beberapa ulasan sebagai berikut.
Baca juga: Cara Minum Cuka Apel Tanpa Aroma yang Menyengat 
Cuka apel bersifat asam, terutama pada senyawa asam asetat dan beberapa orang menggunakannya sebagai pemutih gigi alami. Begitu pula pada kandungan antimikrobanya yang efektif melawan bakteri di area mulut.
Menurut laman Verywell Health, penggunaan cuka apel pun dianggap efektif dalam menghilangkan plak hingga karang gigi yang sering menjadi penyebab perubahan warna pada gigi.
Meski demikian, sebagian besar dokter gigi mungkin tidak akan merekomendasikan cuka apel sebagai pemutih gigi alami, kenapa?
Menurut penelitian, penggunaan cuka apel sebagai pemutih gigi dapat menimbulkan risiko lebih banyak daripada manfaatnya.
American Dental Association dalam studinya bertajuk ""Foods and Beverages That Can Cause Tooth Erosion"" menyebutkan, paparan cuka apel dalam jangka panjang bisa merusak enamel gigi.
Ini dikarenakan sifat asamnya yang terlalu tinggi berpotensi merusak serta mengikis lapisan terluar gigi. Sejumlah risikonya dapat menimbulkan beberapa keluhan sebagai berikut;
Shutterstock / Shulevskyy Volodymyr Ilustrasi cuka apel















Copyright 2008 - 2023 PT. Kompas Cyber Media (Kompas Gramedia Digital Group). All Rights Reserved.",lifestyle
"Cara Membuat Sup Krim Seledri, Makanan Enak yang Nyaman di Perut","Cara Membuat Sup Krim Seledri, Makanan Enak yang Nyaman di Perut
Tim Redaksi
KOMPAS.com - Bagi beberapa orang, krim sup bisa menjadi makanan yang nyaman dan menenangkan di perut, sekaligus memiliki rasa yang lezat.
Selain itu, ada banyak jenis sayuran yang juga bisa dijadikan sebagai bahan dasar untuk membuat krim sup, salah satunya seledri yang aromatik.
Namun, karena seledri tidak mengandung banyak pati — dan kita tidak ingin menggunakan bahan pengental lainnya — maka satu buah kentang yang dikupas, dipotong dadu dan direbus bersama seledri dan bahan lainnya akan memberikan kekentalan pada sup.
Dengan menambahkan lebih banyak rempah, krim sup ini juga bisa menjadi pilihan menu yang lebih sehat, dan dapat dikonsumsi kapan pun, terutama saat kita membutuhkan makanan yang hangat.
Baca juga: Simak, Resep Udang Lada Garam ala Masakan Tionghoa
Dilansir dari laman The Spruce Eats, berikut penjelasan lebih lanjut mengenai cara membuat sup krim seledri yang simpel dan enak.
• 450 gram batang seledri segar
• 1 buah kentang ukuran sedang
• 2 sendok makan unsalted butter atau mentega tawar
• 1 bawang bombay ukuran sedang, cincang kasar
• 1 siung bawang putih, hancurkan















Copyright 2008 - 2023 PT. Kompas Cyber Media (Kompas Gramedia Digital Group). All Rights Reserved.",lifestyle
Manfaat Konsumsi Jahe untuk Tingkatkan Kekuatan Ereksi,"Manfaat Konsumsi Jahe untuk Tingkatkan Kekuatan Ereksi
Tim Redaksi

KOMPAS.com - Jahe biasa digunakan sebagai bumbu masakan hingga pengobatan tradisional.
Sejumlah manfaatnya dapat membantu meningkatkan kesehatan pencernaan, mual hingga peradangan.
Selain manfaat itu, jahe juga bisa menjadi obat herbal alami dalam meningkatkan performa seks pria, khususnya meningkatkan kekuatan ereksi hingga mengatasi disfungsi ereksi.
Baca juga: Manfaat Oat untuk Pria, Bantu Cegah dan Mengobati Disfungsi Ereksi 
Rimpang seperti jahe memiliki manfaat potensial dalam meningkatkan kekuatan ereksi hingga fungsi seksual pria. Dikutip laman Hims, berikut pemaparan selengkapnya.
Tanaman obat ini telah terbukti secara ilmiah dalam meningkatkan aliran darah di seluruh tubuh, termasuk ke area penis.
Dalam sebuah penelitian in-vitro menunjukkan, nutrisi yang terkandung pada jahe dapat berperan mencegah penggumpalan darah dan membantu memperlebar pembuluh darah – komponen penting untuk mendapatkan ereksi.
Proses ereksi melibatkan serangkaian peran yang melibatkan pembuluh darah, jaringan ereksi, saraf, dan otot polos pada penis.
Setelah pria menerima rangsangan seksual, tubuh melepaskan oksida nitrat, yang membantu mengendurkan otot polos di penis. Proses relaksasi ini memungkinkan peningkatan aliran darah ke penis, yang diperlukan untuk ereksi.
Penelitian juga menemukan, jahe dapat membantu menurunkan tekanan darah tinggi. Para ahli menilai, tekanan darah tinggi (hipertensi) dapat meningkatkan risiko disfungsi ereksi.
Sementara konsumsi jahe secara rutin dapat menurunkan tekanan darah dan memperlebar pembuluh darah, yang kemudian mendukung ereksi yang lebih kuat serta peningkatan libido.
Baca juga: Ereksi Saat Tidur di Malam Hari, Apakah Tanda Penyakit Tertentu? 
pixabay.com Jahe















Copyright 2008 - 2023 PT. Kompas Cyber Media (Kompas Gramedia Digital Group). All Rights Reserved.",lifestyle
"Psoriasis Kulit Kepala dan Ketombe, Apa Bedanya? ","Psoriasis Kulit Kepala dan Ketombe, Apa Bedanya? 
Tim Redaksi

KOMPAS.com - Kulit kepala gatal serta mengelupas tentu saja sangat mengganggu dan bisa membuat seseorang tidak percaya diri.
Namun, dua gejala itu ternyata tak hanya ditimbulkan oleh ketombe. Psoriasis kulit kepala ternyata juga memiliki gejala yang mirip.
Psoriasis kulit kepala terjadi ketika sistem pertahanan tubuh bekerja terlalu keras dan meningkatkan produksi sel-sel kulit.
Alih-alih luruh, sel-sel ini justru menumpuk di kulit Anda, membentuk plak atau lapisan yang meninggi dan memerah yang terasa gatal dan perih. Plak ini dapat ditutupi dengan sisik keperakan yang dapat mengelupas.
Psoriasis bisa menyerang area tubuh manapun, termasuk kulit kepala. Menurut National Psoriasis Foundation, lebih dari separuh orang yang hidup dengan psoriasis memiliki plak di kulit kepala mereka.
Dalam kasus psoriasis kulit kepala, kamu mungkin menemukan lapisan tebal dan berkerak yang menutupi kulit kepala.
Lapisan ini bisa menyebar ke area sekitar garis rambut, dahi, bagian belakang leher, dan bahkan mungkin terjadi di sekitar telinga, bahkan pada kelopak mata.
Serpihan psoriasis lebih tebal daripada ketombe. Adam Friedman, profesor dan ketua dermatologi di George Washington School of Medicine and Health Sciences di Washington mengatakan serpihan tersebut juga cenderung berbentuk tepung dengan kilau keperakan.
Psoriasis kulit kepala dapat bervariasi dari kasus ringan hingga yang parah dan dapat menyebabkan kerontokan rambut.
Baca juga: Mengenal Psoriasis: Jenis, Penyebab, Pencegahan, dan Pengobatannya
Sebaliknya, ketombe memiliki banyak penyebab, termasuk kulit yang terlalu kering sehingga mengelupas, kulit yang teriritasi dan berminyak, tidak cukup sering keramas, dan infeksi jamur yang cenderung memakan minyak di kulit kepala (Malassezia).















Copyright 2008 - 2023 PT. Kompas Cyber Media (Kompas Gramedia Digital Group). All Rights Reserved.",lifestyle
Jumlah Sperma Turun akibat Sering Pakai Gawai,"Jumlah Sperma Turun akibat Sering Pakai Gawai
Editor


KOMPAS.com - Jumlah sperma pria secara global mengalami penurunan lebih dari 50 persen dari rata-rata 99 juta sperma per mililiter (mL) menjadi 47 juta per mL dalam 50 tahun terakhir. Para ilmuwan pun berupaya mencari tahu penyebabnya.
Kombinasi antara faktor polusi udara, racun di makanan dan air, obesitas, dan juga penyakit kronis, bisa berpengaruh. Faktor lain adalah pemakaian ponsel pintar atau gawai.
Menurut studi epidemiologi terbaru, pada pria berusia 18-22 tahun yang menggunakan gawai lebih dari 20 kali dalam sehari beresiko lebih tinggi mengalami penurunan jumlah sperma.
Mengacu Organisasi Kesehatan Dunia (WHO), seorang pria kemungkinan besar membutuhkan waktu lebih dari satu tahun untuk mengandung anak jika konsentrasi spermanya di bawah 15 juta per mililiter. Selain itu, persentase peluang hamil akan menurun jika konsentrasi sperma di bawah 40 juta per mililiter.
Baca juga: Tips Meningkatkan Kualitas Sperma agar Istri Cepat Hamil
Pengambilan data itu memang tidak spesifik menyebut apakah para responden itu menggunakan ponselnya untuk menelepon atau berkirim pesan.
Walau kuantitasnya berkurang, namun bentuk dan kemampuan berenang sel sperma ternyata tidak mengalami penurunan.
""Walau jumlah sperma penting, tapi kemampuannya berenang, memiliki bentuk yang tepat dan DNA utuh yang sehat, tak kalah pentingnya,"" kata pakar kesuburan Alison Campbell.
Radiasi ponsel
Ponsel dan gawai telah menjadi bagian dari hidup orang modern. Namun, ponsel memancarkan medan elektromagnetik frekuensi rendah.
Jika daya pancarnya maksimal, jaringan di sekitarnya mengalami kenaikan suhu 0,5 derajat celcius.















Copyright 2008 - 2023 PT. Kompas Cyber Media (Kompas Gramedia Digital Group). All Rights Reserved.",lifestyle
Menyuburkan Rambut dengan Minyak Rosemary,"Menyuburkan Rambut dengan Minyak Rosemary
Editor


KOMPAS.com - Hampir setiap orang pernah mengalami masalah rambut rontok atau sulit memiliki rambut yang sehat dan bebas dari ujung rambut bercabang atau kering. 
Memiliki gaya hidup sehat, konsumsi makanan bernutrisi, dan tidur cukup memang berpengaruh pada kesehatan rambut. Namun, pemakaian produk perawatan yang dioles di kulit kepala, seperti minyak penumbuh rambut, dapat memberi dorongan pada kesehatan rambut.
Minyak yang berasal dari ekstrak daun rosemary menjadi zat aktif utama yang dipilih oleh merek kecantikan lokal, LashBoss, untuk produk terbarunya yaitu Rosemary Hair Growth Oil.
Dok LashBoss Rosemary Hair Growth Oil dari LashBoss""Kami memakai rosemary oil sebagai bahan pokok dalam hair growth oil ini agar rambut ternutrisi hingga ke kulit kepala, terutama di cuaca panas seperti sekarang,"" kata CEO LashBoss Firya Nadhifa Syahputri, dalam keterangan pers.
Baca juga: 10 Pemicu Rambut Rontok yang Mungkin Tak Disadari
Rosemary sejak lama dimanfaatkan dalam dunia kecantikan. Minyak dari daun tanaman ini diketahui dapat merangsang folikel rambut dan meningkatkan aliran darah ke kulit kepala, yang membantu mempercepat pertumbuhan rambut.
Penelitian juga menunjukkan, penggunaan minyak rosemary bisa mengurangi kebotakan.
Firya mengatakan, selain Rosemary, produk terbarunya ini juga mengandung 3 persen encapsulaten biotin yang akan menutrisi folikel dan memperkuat batang rambut, rice bran oil untuk membuat rambut berkilau serta menguatkan akar rambut, dan juga argan dan jojoba oil untuk menghidrasi rambut.
Cara penggunaannya juga mudah, cukup oleskan beberapa tetes minyak ke kulit kepala sambil dipijat dengan gerakan memutar agar sirkulasi darah lebih lancar. Diamkan 1-3 jam lalu bersihkan dengan sampo.
Baca juga: Viral di TikTok, Benarkah Rosemary Oil Berkhasiat Suburkan Rambut?
Kompas Lifestyle telah mencoba produk ini selama dua kali. Walau hasil pertumbuhan rambutnya tidak instan, tetapi rambut menjadi lebih ringan, kulit kepala tidak mudah berminyak, serta enggak gampang kusut.
Kandungan minyak rosemary di dalamnya membuat produk ini memiliki wangi aromatik yang halus. Namun, aromanya tidak bertahan lama di rambut setelah dibilas sampo.
Untuk hasil yang maksimal pada pertumbuhan rambut disarankan menggunakan produk hair oil ini 2-3 kali seminggu.
 















Copyright 2008 - 2023 PT. Kompas Cyber Media (Kompas Gramedia Digital Group). All Rights Reserved.",lifestyle
"Cokelat Juga Mengandung Kafein, Apakah Lebih Tinggi dari Kopi?","Cokelat Juga Mengandung Kafein, Apakah Lebih Tinggi dari Kopi?
Penulis

KOMPAS.com - Tidak banyak orang menyadari jika cokelat sebenarnya juga mengandung kafein.
Umumnya, orang hanya mewaspadai kopi dan teh sebagai sumber kafein yang jumlah konsumsinya harus dijaga. 
Baca juga: Asupan Kafein Berlebih dan Risikonya bagi Tubuh
Padahal, cokelat terbuat dari biji kakao yang mengandung kafein alami. Jumlahnya juga bisa berbeda-beda sesuai jenis cokelat dan cara pengolahannya.
Kandungan kafein di cokelat sebenarnya tergolong ringan dan sedikit dibandingkan kopi, teh dan minuman ringan.
Berikut perbandingannya:
Baca juga: 5 Jenis Cokelat dan Perbedaannya, Mana Favoritmu?
Sedangkan cokelat, jumlah kafeinnya bisa sangat bervariasi tergantung pada jenis bijinya, kondisi pertumbuhan dan sumber kakaonya.
""Secara umum, sebatang coklat hitam seberat 3,5 ons mengandung 50-150 mg kafein,"" jelas Liron Pergament-Gal, pemilik perusahaan cokelat yang berbasis di Boston.
Cokelat yang lebih gelap biasanya mengandung kafein paling banyak.
Sedangkan milk chocolate mengandung kafein yang lebih minim karena kakao solid yang juga sedikit.
Sementara itu, cokelat putih tidak mengandung kafein sama sekali karena tidak terbuat dari kakao.
Baca juga: Kafein dalam Darah Pengaruhi Lemak Tubuh dan Risiko Diabetes 















Copyright 2008 - 2023 PT. Kompas Cyber Media (Kompas Gramedia Digital Group). All Rights Reserved.",lifestyle
"Fenomena Gunakan Barang Mewah, Kebutuhan atau Gengsi?","Fenomena Gunakan Barang Mewah, Kebutuhan atau Gengsi?
Saat ini, aktivitas mendengarkan siniar (podcast) menjadi aktivitas ke-4 terfavorit dengan dominasi pendengar usia 18-35 tahun. Topik spesifik serta kontrol waktu dan tempat di tangan pendengar, memungkinkan pendengar untuk melakukan beberapa aktivitas sekaligus, menjadi nilai tambah dibanding medium lain.
Medio yang merupakan jaringan KG Media, hadir memberikan nilai tambah bagi ranah edukasi melalui konten audio yang berkualitas, yang dapat didengarkan kapan pun dan di mana pun. Kami akan membahas lebih mendalam setiap episode dari channel siniar yang belum terbahas pada episode tersebut.
Info dan kolaborasi: podcast@kgmedia.id
Saat ini, aktivitas mendengarkan siniar (podcast) menjadi aktivitas ke-4 terfavorit dengan dominasi pendengar usia 18-35 tahun. Topik spesifik serta kontrol waktu dan tempat di tangan pendengar, memungkinkan pendengar untuk melakukan beberapa aktivitas sekaligus, menjadi nilai tambah dibanding medium lain.
Medio yang merupakan jaringan KG Media, hadir memberikan nilai tambah bagi ranah edukasi melalui konten audio yang berkualitas, yang dapat didengarkan kapan pun dan di mana pun. Kami akan membahas lebih mendalam setiap episode dari channel siniar yang belum terbahas pada episode tersebut.
Info dan kolaborasi: podcast@kgmedia.id

Oleh: Alifia Putri Yudanti dan Ikko Anata
KOMPAS.com - Kehidupan yang penuh dinamika membuat pola pikir masyarakat berubah. Jika dulu barang-barang mewah adalah sesuatu yang hanya bisa dibeli oleh kalangan tertentu, kini hal tersebut pun dapat dimiliki semua orang.
Terlebih, menjamurnya platform penyedia cicilan dengan persyaratan yang mudah, membuat sikap konsumtif masyarakat meningkat. Ditambah lagi, ada tekanan dari lingkungan sekitar yang mengharuskan kita menggunakan barang tertentu agar mendapat pengakuan.
Dalam siniar Balada +62 episode “EMANG HARUS PAKE M*CBO*K DAN IP**NE BIAR KEREN?!” dengan tautan s.id/Balada62MBIP, Kukuh dan Dwik pun membahas fenomena ini. Menurut mereka, seharusnya ada beberapa hal yang perlu dipertimbangkan sebelum membelinya.
Hal ini karena membeli barang mewah sebenarnya bukanlah kebutuhan utama. Lantas, mengapa banyak orang yang rela mengejarnya padahal hidup pas-pasan?
Pada saat ini, hampir semua bisnis berlomba-lomba untuk menggaet konsumen agar tetap loyal mengenakan jasa atau produknya. Ditambah lagi, teknik pemasaran terbaru, yaitu Marketing 4.0 atau digital marketing bertujuan memenangkan hati para konsumen.
Kusumasari (2022) mengatakan marketing 4.0 mengintegrasikan gaya hidup dan substansinya di era ekonomi digital ini. Jika tak memiliki ‘gaya’, orang tersebut akan tertinggal dari lingkungannya.
Selain membutuhkan gaya, mereka juga ingin tahu substansinya: apakah nanti barang tersebut memiliki nilai lebih atau berdampak pada dirinya.
Baca juga: Berorientasi pada Tujuan, Apakah Penting?
Ditambah, teknik pemasaran yang digunakan saat ini adalah 5A, yaitu aware, appeal, ask, act, dan advocate. Artinya, setiap orang bisa membagikan pendapat mereka dan memengaruhi orang lain untuk membeli barang tersebut.
Itulah mengapa, hadir influencer yang memiliki pengaruh kuat terhadap pemasaran suatu brand. Apalagi, jika dalam konteks barang mewah, para influencer tersebut berada di kasta sosial yang dapat dikatakan tinggi.















Copyright 2008 - 2023 PT. Kompas Cyber Media (Kompas Gramedia Digital Group). All Rights Reserved.",lifestyle
5 Latihan yang Bisa Kamu Lakukan untuk Meringankan Nyeri Menstruasi,"5 Latihan yang Bisa Kamu Lakukan untuk Meringankan Nyeri Menstruasi
Tim Redaksi

KOMPAS.com - Nyeri menstruasi adalah kondisi umum yang dialami oleh banyak wanita selama siklus menstruasi mereka.
Meskipun dapat menjadi pengalaman yang mengganggu, beberapa latihan ringan dapat membantu mengurangi ketidaknyamanan selama periode menstruasi.
Dengan melakukan latihan yang tepat, kita dapat mengurangi rasa tidak nyaman dan meringankan gejala yang terkait dengan nyeri menstruasi.
Selain meningkatkan rasa bahagia melalui pelepasan endorfin, aktivitas fisik selama periode menstruasi telah terbukti efektif dalam mengurangi ketidaknyamanan seperti kram perut, perut kembung, sakit kepala, dan nyeri punggung bawah.
Berikut ini adalah sembilan latihan yang dapat membantu meringankan nyeri menstruasi.
Tanya Becker, salah satu pendiri dan kepala kreatif Physique 57, sebuah studio kebugaran barre yang berbasis di New York dan Los Angeles, mengatakan teknik ini dapat meningkatkan sirkulasi darah ke otot punggung bawah, sambil secara lembut memperkuatnya.
Hal itu lah yang membuat gerakan ini bermanfaat untuk meredakan nyeri pada bagian tersebut.
Cara melakukannya:
Berbaringlah di lantai dan letakkan kaki sedikit lebih lebar dari lebar pinggul. Perlahan angkat pinggul dari lantai dan ke atas, kemudian turunkan dengan perlahan satu per satu tulang belakang.
Lakukan gerakan naik-turun ini dengan perlahan selama satu hingga dua menit.
Baca juga: 8 Masalah Menstruasi yang Tidak Boleh Diabaikan















Copyright 2008 - 2023 PT. Kompas Cyber Media (Kompas Gramedia Digital Group). All Rights Reserved.",lifestyle
Kesaksian Anak Seorang Centenarian yang Juga Ingin Hidup 100 Tahun,"Kesaksian Anak Seorang Centenarian yang Juga Ingin Hidup 100 Tahun
Editor
KOMPAS.com - Seorang mantan pelatih dan pembina bidang kepemimpinan, Louisa Rogers memberi kesaksian mengenai gaya hidup ayahnya yang mampu hidup mencapai usia 101 tahun.
""Selama saya mengenalnya, ayah saya, yang meninggal setahun yang lalu di usia 101 tahun, menjalani kehidupan yang sangat sehat dan aktif.""
""Dia berlari setiap pagi hingga berusia 70 tahun, menjaga tingkat stresnya seminimal mungkin, dan menikmati ikatan yang erat dengan keluarga dan teman-teman.""
Demikian penuturan Louisa Rogers, yang juga adalah seorang penulis saat memberi kesaksiannya di laman Insider.com.
Menurut Louisa Rogers, tiga prinsip yang dijalani sang ayah, juga dijelaskan oleh Dan Buettner dalam bukunya ""The Blue Zones: Lessons for Living Longer From the People Who've Lived the Longest."" 
Baca juga: Fakta Penelitian: Pria dengan Libido Tinggi Punya Umur Lebih Panjang
""Karena saya juga berharap bisa hidup sampai usia 100 tahun, saya mengikuti teladannya.""
""Saya telah memasukkan banyak praktik yang saya lihat ayah jalani - dan beberapa praktik lainnya - ke dalam hidup saya,"" sebut dia.
""Sarapan seperti raja, makan siang seperti pangeran, dan makan malam seperti orang miskin,"" kata sang ayah.
Menurut Louisa Rogers, bapaknya selalu makan makanan terkecilnya di sore hari.
Pada waktu makan, ayahnya mengikuti aturan lain dari Blue Zoners yakni berhentilah makan saat sudah 80 persen kenyang.
""Meskipun saya memiliki riwayat makan berlebihan, saya telah belajar untuk makan dengan sehat dan tidak berlebihan.""
""Saya makan 90 persen makanan nabati dengan sesekali makan ikan, dan saya mengurangi makan junk food.""
""Saya cenderung makan makanan utama di malam hari, tapi biasanya berupa hidangan satu jenis yang sederhana,"" sebut Louisa Rogers.
Mengenai alkohol, banyak orang berusia 100 tahun yang menikmati segelas anggur, tetapi mereka tidak berlebihan.
""Namun, ayah saya adalah seorang peminum berat hingga lima tahun terakhir dalam hidupnya.""
""Ketika -setelah menjalani operasi kateter yang serius- dokter memerintahkannya untuk berhenti minum.""
Baca juga: Veteran Umur 100 Tahun Berbagi Resep Sehat dan Panjang Umur
""Saya minum dua gelas anggur di malam hari, dan saya menganggapnya sebagai kesenangan saya,"" kata dia.
""Ayah saya adalah seorang pejalan kaki, backpacker, dan pelari, sejak masih kuliah. Pada usia 70 tahun, dia beralih dari berlari di luar ruangan menjadi menggunakan sepeda statis dan treadmill.""
""Saya mulai berlari saat kuliah dengan ayah saya dan perlahan-lahan berkembang menjadi menyukai semua jenis olahraga; saya menyebut diri saya sebagai 'pencinta kebugaran yang mulai dewasa'.""
""Aktif secara fisik, terutama di luar ruangan, memberikan saya kesenangan yang luar biasa, baik saat berjalan kaki jarak jauh di berbagai belahan dunia.""
""Suami saya, Barry, dan saya berjalan kaki di Camino de Santiago sejauh 870 kilometer, juga mengendarai sepeda, atau bermain paddleboard.""
""Saya juga menemukan cara untuk memasukkan aktivitas fisik ke dalam rutinitas harian saya, seperti banyak orang berusia 100 tahun, yang sering tidak berolahraga dalam pengertian modern tetapi memasukkan gerakan ke dalam kehidupan sehari-hari mereka.""
""Dan tidak seperti ayah saya, yang tinggal di pinggiran kota, saya tinggal di komunitas yang dapat dilalui dengan berjalan kaki - saya membagi waktu saya antara Meksiko dan California - jadi saya jarang mengemudi, dan mudah untuk berjalan kaki setiap hari.""
Baca juga: Apakah Diet Zona Biru Memang Ampuh Bikin Panjang Umur? Ini Kata Ahli















Copyright 2008 - 2023 PT. Kompas Cyber Media (Kompas Gramedia Digital Group). All Rights Reserved.",lifestyle
