Lulus pada Prodi,Lulus Pilihan,X1,X2,X3,X4,X5,X6,X7,X8
Tidak Lulus,Tidak Lulus,10.1,9.9,1,0,9.9,9.9,9.9,9.9
Tidak Lulus,Tidak Lulus,10.1,10,1,0,10,10,10,10
Tidak Lulus,Tidak Lulus,10.1,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10,9.8,1.1,0,9.8,9.8,9.8,9.8
Tidak Lulus,Tidak Lulus,10.4,10.2,1.1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10.5,10.5,1,0,10.5,10.5,10.5,10.5
Tidak Lulus,Tidak Lulus,11.1,11,1,0,11,11,11,11
Tidak Lulus,Tidak Lulus,10.1,10.4,1,0,10.4,10.4,10.4,10.4
TEKNIK SIPIL,pil_1,10.7,10.6,1,0,10.6,10.6,10.6,10.6
Tidak Lulus,Tidak Lulus,10.6,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10.6,10.5,1,0,10.5,10.5,10.5,10.5
